Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC Part #,Generic
"KiKit_MB_10_1, KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_10_5, KiKit_MB_10_6, KiKit_MB_11_1, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_11_5, KiKit_MB_11_6, KiKit_MB_12_1, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_12_5, KiKit_MB_12_6, KiKit_MB_13_1, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_13_5, KiKit_MB_14_1, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_14_5, KiKit_MB_15_1, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_15_5, KiKit_MB_16_1, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_16_5, KiKit_MB_17_1, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_17_5, KiKit_MB_17_6, KiKit_MB_18_1, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_18_5, KiKit_MB_18_6, KiKit_MB_19_1, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_19_5, KiKit_MB_19_6, KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_1_5, KiKit_MB_1_6, KiKit_MB_20_1, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_20_5, KiKit_MB_20_6, KiKit_MB_21_1, KiKit_MB_21_2, KiKit_MB_21_3, KiKit_MB_21_4, KiKit_MB_21_5, KiKit_MB_22_1, KiKit_MB_22_2, KiKit_MB_22_3, KiKit_MB_22_4, KiKit_MB_22_5, KiKit_MB_23_1, KiKit_MB_23_2, KiKit_MB_23_3, KiKit_MB_23_4, KiKit_MB_23_5, KiKit_MB_24_1, KiKit_MB_24_2, KiKit_MB_24_3, KiKit_MB_24_4, KiKit_MB_24_5, KiKit_MB_25_1, KiKit_MB_25_2, KiKit_MB_25_3, KiKit_MB_25_4, KiKit_MB_25_5, KiKit_MB_25_6, KiKit_MB_26_1, KiKit_MB_26_2, KiKit_MB_26_3, KiKit_MB_26_4, KiKit_MB_26_5, KiKit_MB_26_6, KiKit_MB_27_1, KiKit_MB_27_2, KiKit_MB_27_3, KiKit_MB_27_4, KiKit_MB_27_5, KiKit_MB_27_6, KiKit_MB_28_1, KiKit_MB_28_2, KiKit_MB_28_3, KiKit_MB_28_4, KiKit_MB_28_5, KiKit_MB_28_6, KiKit_MB_29_1, KiKit_MB_29_2, KiKit_MB_29_3, KiKit_MB_29_4, KiKit_MB_29_5, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_2_5, KiKit_MB_2_6, KiKit_MB_30_1, KiKit_MB_30_2, KiKit_MB_30_3, KiKit_MB_30_4, KiKit_MB_30_5, KiKit_MB_31_1, KiKit_MB_31_2, KiKit_MB_31_3, KiKit_MB_31_4, KiKit_MB_31_5, KiKit_MB_32_1, KiKit_MB_32_2, KiKit_MB_32_3, KiKit_MB_32_4, KiKit_MB_32_5, KiKit_MB_33_1, KiKit_MB_33_2, KiKit_MB_33_3, KiKit_MB_33_4, KiKit_MB_33_5, KiKit_MB_33_6, KiKit_MB_34_1, KiKit_MB_34_2, KiKit_MB_34_3, KiKit_MB_34_4, KiKit_MB_34_5, KiKit_MB_34_6, KiKit_MB_35_1, KiKit_MB_35_2, KiKit_MB_35_3, KiKit_MB_35_4, KiKit_MB_35_5, KiKit_MB_35_6, KiKit_MB_36_1, KiKit_MB_36_2, KiKit_MB_36_3, KiKit_MB_36_4, KiKit_MB_36_5, KiKit_MB_36_6, KiKit_MB_37_1, KiKit_MB_37_2, KiKit_MB_37_3, KiKit_MB_37_4, KiKit_MB_37_5, KiKit_MB_38_1, KiKit_MB_38_2, KiKit_MB_38_3, KiKit_MB_38_4, KiKit_MB_38_5, KiKit_MB_39_1, KiKit_MB_39_2, KiKit_MB_39_3, KiKit_MB_39_4, KiKit_MB_39_5, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_3_5, KiKit_MB_3_6, KiKit_MB_40_1, KiKit_MB_40_2, KiKit_MB_40_3, KiKit_MB_40_4, KiKit_MB_40_5, KiKit_MB_41_1, KiKit_MB_41_2, KiKit_MB_41_3, KiKit_MB_41_4, KiKit_MB_41_5, KiKit_MB_41_6, KiKit_MB_42_1, KiKit_MB_42_2, KiKit_MB_42_3, KiKit_MB_42_4, KiKit_MB_42_5, KiKit_MB_42_6, KiKit_MB_43_1, KiKit_MB_43_2, KiKit_MB_43_3, KiKit_MB_43_4, KiKit_MB_43_5, KiKit_MB_43_6, KiKit_MB_44_1, KiKit_MB_44_2, KiKit_MB_44_3, KiKit_MB_44_4, KiKit_MB_44_5, KiKit_MB_44_6, KiKit_MB_45_1, KiKit_MB_45_2, KiKit_MB_45_3, KiKit_MB_45_4, KiKit_MB_45_5, KiKit_MB_46_1, KiKit_MB_46_2, KiKit_MB_46_3, KiKit_MB_46_4, KiKit_MB_46_5, KiKit_MB_47_1, KiKit_MB_47_2, KiKit_MB_47_3, KiKit_MB_47_4, KiKit_MB_47_5, KiKit_MB_48_1, KiKit_MB_48_2, KiKit_MB_48_3, KiKit_MB_48_4, KiKit_MB_48_5, KiKit_MB_49_10, KiKit_MB_49_11, KiKit_MB_49_2, KiKit_MB_49_3, KiKit_MB_49_4, KiKit_MB_49_5, KiKit_MB_49_6, KiKit_MB_49_7, KiKit_MB_49_8, KiKit_MB_49_9, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_4_5, KiKit_MB_4_6, KiKit_MB_50_10, KiKit_MB_50_11, KiKit_MB_50_2, KiKit_MB_50_3, KiKit_MB_50_4, KiKit_MB_50_5, KiKit_MB_50_6, KiKit_MB_50_7, KiKit_MB_50_8, KiKit_MB_50_9, KiKit_MB_51_10, KiKit_MB_51_11, KiKit_MB_51_2, KiKit_MB_51_3, KiKit_MB_51_4, KiKit_MB_51_5, KiKit_MB_51_6, KiKit_MB_51_7, KiKit_MB_51_8, KiKit_MB_51_9, KiKit_MB_52_10, KiKit_MB_52_11, KiKit_MB_52_2, KiKit_MB_52_3, KiKit_MB_52_4, KiKit_MB_52_5, KiKit_MB_52_6, KiKit_MB_52_7, KiKit_MB_52_8, KiKit_MB_52_9, KiKit_MB_53_10, KiKit_MB_53_11, KiKit_MB_53_2, KiKit_MB_53_3, KiKit_MB_53_4, KiKit_MB_53_5, KiKit_MB_53_6, KiKit_MB_53_7, KiKit_MB_53_8, KiKit_MB_53_9, KiKit_MB_54_10, KiKit_MB_54_11, KiKit_MB_54_2, KiKit_MB_54_3, KiKit_MB_54_4, KiKit_MB_54_5, KiKit_MB_54_6, KiKit_MB_54_7, KiKit_MB_54_8, KiKit_MB_54_9, KiKit_MB_55_10, KiKit_MB_55_11, KiKit_MB_55_2, KiKit_MB_55_3, KiKit_MB_55_4, KiKit_MB_55_5, KiKit_MB_55_6, KiKit_MB_55_7, KiKit_MB_55_8, KiKit_MB_55_9, KiKit_MB_56_10, KiKit_MB_56_11, KiKit_MB_56_2, KiKit_MB_56_3, KiKit_MB_56_4, KiKit_MB_56_5, KiKit_MB_56_6, KiKit_MB_56_7, KiKit_MB_56_8, KiKit_MB_56_9, KiKit_MB_5_1, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_5_5, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_6_5, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_7_5, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_8_5, KiKit_MB_9_1, KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4, KiKit_MB_9_5, KiKit_MB_9_6, KiKit_TO_1, KiKit_TO_2, KiKit_TO_3",347,NPTH,NPTH,,,,tht,,
"L1.0, L1.1, L1.2, L1.3, L1.4, L1.5",6,4.7uH,L_1008_2520Metric,, LQM2HPN4R7MG0L,,smt,C82314,x
"R1.0, R1.1, R1.2, R1.3, R1.4, R1.5, R10.2, R10.5, R11.2, R11.5, R12.0, R12.2, R12.3, R12.5, R16.0, R16.3, R2.0, R2.1, R2.2, R2.3, R2.4, R2.5, R3.0, R3.1, R3.3, R3.4, R4.0, R4.1, R4.2, R4.3, R4.4, R4.5, R5.0, R5.1, R5.2, R5.3, R5.4, R5.5, R6.0, R6.1, R6.3, R6.4, R7.2, R7.5, R8.2, R8.5, R9.2, R9.5",48,10K,R_0402_1005Metric,,0402WGF1002TCE,,smt,C25744,x
"R10.0, R10.3, R11.0, R11.3, R8.0, R8.3, R9.0, R9.3",8,499R,R_0402_1005Metric,,0402WGF4990TCE,,smt,C4125,x
"R13.0, R13.1, R13.3, R13.4",4,100R,R_0402_1005Metric,,0402WGF1000TCE,,smt,C25076,x
"R14.0, R14.1, R14.2, R14.3, R14.4, R14.5",6,182k,R_0402_1005Metric,,0402WGF1823TCE,,smt,C11481,x
"R15.0, R15.1, R15.2, R15.3, R15.4, R15.5",6,62k,R_0402_1005Metric,,RC0402FR-0762KL,,smt,C137950,x
"R7.0, R7.1, R7.3, R7.4",4,309k,R_0402_1005Metric,,RTT023093FTH,,smt,C159040,x
"U1.0, U1.1, U1.2, U1.3, U1.4, U1.5",6,AP63201WU,TSOT-23-6,,AP63201WU-7,,smt,C2071044,
"U2.0, U2.3",2,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,,ADS1115IDGSR,,smt,C37593,
"U2.1, U2.2, U2.4, U2.5",4,TBD62003AFWG,SOIC-16_3.9x9.9mm_P1.27mm,,TBD62003AFWG,,smt,C114084,
"U3.0, U3.1, U3.2, U3.3, U3.4, U3.5",6,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,,ESP32-C3-WROOM-02-N4,,smt,C2934560,
"U4.0, U4.3",2,LP5907MFX-3.0,SOT-23-5,,LP5907MFX-3.0/NOPB,,smt,C475492,
"U5.0, U5.3",2,MCP4725xxx-xCH,SOT-23-6,,MCP4725A0T-E/CH,,smt,C144198,
"Y1.0, Y1.1, Y1.2, Y1.3, Y1.4, Y1.5",6,32.768khz 3215 12.5pf,Crystal_SMD_3215-2Pin_3.2x1.5mm,,Q13FC13500004,,smt,C32346,
